"","t_start","t_end","meanRt","quantile0025","quantile0975"
"32297",8,8,2.08438824215497,1.5145196876708,2.74384689048045
"32298",9,9,0.45891744251024,0.244354210334527,0.739972077020789
"32299",10,10,4.00180824298646,3.25953853838432,4.81908025709451
"32300",11,11,5.21240328280582,4.59802286927731,5.86474966536128
"32301",2,2,3.61127068516473,3.29855768864057,3.937942552672
"32302",3,3,5.47134820216235,2.19976574602362,10.2075613877562
"32303",4,4,0.618006892324492,0.0748435017625564,1.72165700858722
"32304",5,5,13.816998825022,9.95807742712311,18.2980257584799
"32305",6,6,1.63172422942849,1.0753165489757,2.30230390893802
"32306",7,7,2.26560708114949,1.71141524121293,2.89633833609733
"32307",8,8,0.363253317657617,0.193417092848118,0.585720408624045
"32308",9,9,4.09398083246434,3.41039536586425,4.83908069590526
"32309",10,10,5.26115476252167,4.7029778081796,5.85018006199522
"32310",11,11,3.85076026668514,3.56016003720449,4.15259887713819
"32311",2,2,1.46214689078701,0.398385816856039,3.20476026490111
"32312",3,3,1.69065374949224,0.620440129274953,3.28785156337124
"32313",4,4,16.3389990055625,12.636580647226,20.509859197099
"32314",5,5,1.24431092937915,0.856526389371042,1.70336558942842
"32315",6,6,1.72926054864446,1.32581414690319,2.18547997716794
"32316",7,7,0.47829804408014,0.296074027811143,0.703516701697975
"32317",8,8,3.84592255043154,3.25128099215737,4.4897654996815
"32318",9,9,5.39070915304919,4.87593430950918,5.93094489301208
"32319",10,10,3.91983985174695,3.65466887484577,4.19416584356076
"32320",11,11,2.25822403321077,0.907923183017511,4.21303115696336
"32321",2,2,1.40213322037106,0.563730275531553,2.61587462393519
"32322",3,3,12.6639338166773,9.89063737768683,15.774764738925
"32323",4,4,1.2324616243333,0.863200969844859,1.66644311078345
"32324",5,5,1.94404593852009,1.53168708674762,2.40481422833534
"32325",6,6,0.588359154066082,0.396963450560045,0.816815825440086
"32326",7,7,3.93162279953664,3.38828609557724,4.51477141339865
"32327",8,8,5.12423346250083,4.67737689159074,5.59118406974314
"32328",9,9,3.76326403310928,3.52797682088187,4.00603888671159
"32329",10,10,2.15353602432363,0.984733802081838,3.77184398265735
"32330",11,11,1.06507749458415,0.428216392537568,1.98705026749871
"32331",2,2,11.9811014142733,9.50026828551973,14.7453768140877
"32332",3,3,0.910250987353994,0.61414251876354,1.26369651335398
"32333",4,4,2.33290870280334,1.88522770209392,2.82756682650371
"32334",5,5,0.632841591552449,0.443234470591929,0.855681418097135
"32335",6,6,3.9030280507388,3.40207895895179,4.43788120902935
"32336",7,7,4.86177753416895,4.45884868507081,5.28188634139302
"32337",8,8,3.85255366739239,3.62812113820538,4.08362626706554
"32338",9,9,2.2010670553814,1.05549720768055,3.76047980245852
"32339",10,10,1.50941198438384,0.753493024225531,2.5235112551734
"32340",11,11,10.4239053166718,8.38205083718568,12.6849845463783
"32341",2,2,1.12498789593511,0.814159318448292,1.48529270828524
"32342",3,3,2.25432543299971,1.85450412062693,2.69259365426341
"32343",4,4,0.518261916769268,0.362984275012125,0.700755288221465
"32344",5,5,3.667549551279,3.21544690846576,4.14895746762888
"32345",6,6,5.13134659539405,4.73564532925548,5.54269876968531
"32346",7,7,3.82807098420535,3.61819255021603,4.043782980385
"32347",8,8,5.4626039537439,1.77369263470206,11.1891485581758
"32348",9,9,1.39093813909363,0.286844883776505,3.3496978733589
"32349",10,10,4.70206821610831,2.42962726169292,7.71219064346806
"32350",11,11,1.60497021338162,0.733894582027142,2.81104990736761
"32351",2,2,3.6825921165095,2.4470557173657,5.1666218221716
"32352",3,3,2.43579102999532,1.70599809188279,3.29349579824818
"32353",4,4,11.9032443258298,10.5769741048925,13.3067160084668
"32354",5,5,1.74136080258704,1.51635948459157,1.98169963241897
"32355",6,6,1.17076777250711,1.02116207538931,1.3304510436631
"32356",7,7,1.47600335575559,0.402161237198569,3.23513111794132
"32357",8,8,0.63593211570356,0.0770143294737482,1.77159348477277
"32358",9,9,7.42587439679591,4.40104379487243,11.2290140280929
"32359",10,10,1.58571143681914,0.819360238729741,2.60083613087147
"32360",11,11,3.4524327417788,2.43083126003054,4.65044318459097
"32361",2,2,2.05334337559214,1.47351465747134,2.72787403465764
"32362",3,3,11.1986340367312,10.0397836655895,12.4198642536663
"32363",4,4,1.76539664770124,1.55534581361765,1.98855829355984
"32364",5,5,1.34901959776088,1.20018676846604,1.50642571045915
"32365",6,6,3.83641007470709,1.75425097910675,6.71933977042931
"32366",7,7,0.650175046530799,0.134081725430319,1.5657705468443
"32367",8,8,4.55067972912873,2.77967340189009,6.75112759470807
"32368",9,9,1.07254399587031,0.514326535390121,1.8324203362444
"32369",10,10,3.3166975469205,2.33526115644674,4.46760723699979
"32370",11,11,2.7294422182832,2.05044099915266,3.50406322350235
"32371",2,2,12.556456880037,11.4104701797251,13.7564933080133
"32372",3,3,1.77456714279546,1.58797272254482,1.97137687471836
"32373",4,4,1.30923747600599,1.17972713384257,1.44539558687966
"32374",5,5,5.55032648983232,2.77070298601745,9.2793163906781
"32375",6,6,0.400716405333632,0.048528615718295,1.11632445570896
"32376",7,7,5.45366498080937,3.52932442516652,7.79003634833347
"32377",8,8,1.27023038844374,0.694446773427614,2.01698031731293
"32378",9,9,3.21121040291741,2.35100960886237,4.20344234000702
"32379",10,10,2.85791411625784,2.23614178379667,3.55480214849465
"32380",11,11,10.701868742157,9.77422962580752,11.6709590445192
"32381",2,2,1.89737385166504,1.71618798169925,2.08752122145232
"32382",3,3,1.34096571337743,1.21925322358637,1.46838559301728
"32383",4,4,2.21400503363338,0.812500826792861,4.30562432628771
"32384",5,5,1.03275236864013,0.281390261527862,2.2636055073228
"32385",6,6,6.22635000794296,3.98933993474658,8.9533078662444
"32386",7,7,1.48794840528702,0.850491077352239,2.30076057601745
"32387",8,8,4.00849412088149,3.05145144912934,5.0940792371935
"32388",9,9,2.46030250817729,1.93518399447896,3.04750203855929
"32389",10,10,11.5545228807928,10.6453847412197,12.5003810851134
"32390",11,11,1.78372940827215,1.62305832867316,1.95187480468123
"32391",2,2,1.29684924084326,1.18619321576231,1.41236918499964
"32392",3,3,6.01592249257928,3.1085149386241,9.86713484933207
"32393",4,4,1.07969880671408,0.396230433000777,2.09971403706472
"32394",5,5,5.09952216419911,3.51027641378864,6.98085211013804
"32395",6,6,1.1594440247021,0.687160010761675,1.75324985617666
"32396",7,7,3.73541653135374,2.92273338030964,4.64627912911738
"32397",8,8,2.55462633087092,2.06925552981941,3.09036802552647
"32398",9,9,10.2509725194809,9.48655767660323,11.0445849215835
"32399",10,10,1.81720449833365,1.66492312869581,1.97605431933207
"32400",11,11,1.2473385798396,1.14562028000884,1.3533213813929
"32401",2,2,3.90810585868739,1.26895133454421,8.00504254092232
"32402",3,3,1.19614634263587,0.246674132364114,2.88059457681149
"32403",4,4,1.85093429696627,0.600993328025628,3.7913015469452
"32404",5,5,7.03160088420225,4.40666683795983,10.2599784826985
"32405",6,6,1.4125476219651,0.772252929319652,2.24296377782415
"32406",7,7,3.25264653945936,2.35395642858737,4.29438592641257
"32407",8,8,7.49269298769418,6.42949481068587,8.63604752167818
"32408",9,9,4.36822386625513,3.92918341415875,4.83018149969614
"32409",10,10,3.09350975182176,2.85514326653803,3.34129645565757
"32410",11,11,4.51194186943446,2.06314713182283,7.90251038204535
"32411",2,2,0.447941170798807,0.054247753904659,1.2478842319053
"32412",3,3,1.51470261087903,0.555869162440353,2.94567551085893
"32413",4,4,12.4940591809214,9.21213294426878,16.2683156843704
"32414",5,5,0.703244275845658,0.384470189609298,1.11667133423057
"32415",6,6,1.9920347975209,1.45300385057637,2.61478676463262
"32416",7,7,8.5021846196485,7.4625584565185,9.60861960534712
"32417",8,8,4.37735447723994,3.99250181741957,4.77966143651279
"32418",9,9,2.98595864946679,2.78197643780986,3.19705508407304
"32419",10,10,4.25928084180434,1.71245180388865,7.94628107259362
"32420",11,11,1.39374901585249,0.452546511695493,2.85484082742199
"32421",2,2,1.40146403347514,0.514312600297171,2.72545795663582
"32422",3,3,10.9564541709437,8.13209146858111,14.1953131929922
"32423",4,4,1.1467893773098,0.734769592748387,1.64904933704258
"32424",5,5,2.84475738505627,2.24503804124802,3.51439601887499
"32425",6,6,6.1772179718986,5.46358427217196,6.93401931619827
"32426",7,7,4.68497492421655,4.3234099994791,5.06085234214389
"32427",8,8,2.92722028018053,2.74688649801122,3.1132060950056
"32428",9,9,3.30534551109816,1.51141444376818,5.78919852550632
"32429",10,10,1.3546607893472,0.544643896125928,2.52730819825777
"32430",11,11,1.15129638845737,0.46288085957467,2.14790361103981
"32431",2,2,10.4892589426186,8.07800752598568,13.2106262559083
"32432",3,3,0.892275701186582,0.571697878051614,1.28306616944136
"32433",4,4,2.59412103442216,2.06917253209293,3.17751994877811
"32434",5,5,6.40676919560799,5.71551159611553,7.13691647640548
"32435",6,6,4.67532661946769,4.33653380731419,5.02668055931207
"32436",7,7,2.91333567241387,2.74467265488578,3.08695681417651
"32437",8,8,7.0345905456373,3.21666274250975,12.3208424286071
"32438",9,9,1.00898872575603,0.274915468645211,2.21151992074861
"32439",10,10,1.78956396622765,0.772606701113339,3.22628751548773
"32440",11,11,14.3153324532584,11.2406149800623,17.7561464520776
"32441",2,2,0.692498393824964,0.428667420346278,1.01857867073622
"32442",3,3,3.02730970675033,2.47603941504274,3.63315819215866
"32443",4,4,6.96349944937939,6.29363045121174,7.66675729490996
"32444",5,5,4.40601412915453,4.11150052823252,4.71057058931461
"32445",6,6,2.86764244760843,2.71501175663885,3.02438821129368
"32446",7,7,6.55947676071092,3.49264511565266,10.5766946147063
"32447",8,8,1.04909475156265,0.384999284138867,2.04019765731791
"32448",9,9,1.63135581741468,0.814366946313521,2.72738311940662
"32449",10,10,10.2254578618552,8.0828001101725,12.6162208406189
"32450",11,11,0.896996293769169,0.605199632662107,1.24529509407356
"32451",2,2,2.89254768326058,2.39016811901756,3.44213382818158
"32452",3,3,6.90967229010964,6.28457063855247,7.56398584015212
"32453",4,4,4.36885979688564,4.09298719976654,4.65360197470602
"32454",5,5,2.90620385092694,2.76130932677384,3.05475131225746
"32455",6,6,2.34486351521243,0.483567229618973,5.64696884028371
"32456",7,7,3.93280792224098,1.58119275786852,7.33720041372311
"32457",8,8,3.18362914208241,1.58925619718028,5.32255212987628
"32458",9,9,4.6731840938213,3.15297768406483,6.48775615480506
"32459",10,10,1.55956573917586,0.99924319645055,2.24260958389354
"32460",11,11,6.30470617293982,5.27135134877579,7.42917908191108
"32461",2,2,0.837605687542765,0.623652450916857,1.08262615438927
"32462",3,3,0.400127787460274,0.265882008923002,0.561373318831999
"32463",4,4,2.24922327420632,1.85200348610083,2.68446067765293
"32464",5,5,2.34486351521243,0.483567229618973,5.64696884028371
"32465",6,6,3.3709782190637,1.23708959486653,6.55561554869982
"32466",7,7,3.2350958303882,1.55135419759488,5.52709764086881
"32467",8,8,5.25919829745769,3.54835900641708,7.30131649827022
"32468",9,9,2.35082462593269,1.63743548634566,3.19118344899064
"32469",10,10,7.205661451677,6.18319247661765,8.30521613844444
"32470",11,11,0.761709623732569,0.583998400801185,0.96266646017489
"32471",2,2,0.534167274290645,0.395179890152807,0.693774670008964
"32472",3,3,2.26372549374298,1.9224329363404,2.63249374075493
"32473",4,4,1.00265374876321,0.12142602055867,2.79321456634833
"32474",5,5,1.56549432151754,0.322842565091423,3.77006917285323
"32475",6,6,8.03602256302654,4.49770082589112,12.5842083554677
"32476",7,7,7.15967517686457,5.24178207751494,9.37194328711317
"32477",8,8,2.22705985531924,1.64759114110372,2.89249789453337
