week,date,meanRt,lowerRt,upperRt,totalIterations,runTime,reportedWeeklyI,trueWeeklyI,rPosterior_1,rPosterior_2,rPosterior_3,rPosterior_4,rPosterior_5,rPosterior_6,rPosterior_7,rPosterior_8,rPosterior_9,rPosterior_10
12,2018-07-19,1.4524676606232614,0.8757910688690418,2.1141003590328484,392.0,0.004305773,4,7,2.1316465142046574,1.4117493623085966,1.3587491821430728,1.5629049627883174,1.414406179824479,1.4875980875125796,0.8544847329489579,0.9491795592604423,2.0536636023299497,1.3002944229115627
13,2018-07-26,5.807696312025162,3.8846109568788125,6.998122247661159,2461.0,0.17175071,14,51,6.1931131216174204,6.262413920760278,5.740719525938093,4.5755347235192465,6.495553110253897,3.684020185918686,7.144029416585847,5.924598553383701,6.341281708697935,5.715698853576516
14,2018-08-02,3.5426775894830413,2.8922190641685717,4.2001638907399865,3567.0,0.330431407,23,82,3.6546400072871914,2.8581303467853902,3.024998318478182,3.8379821365792255,4.271824604098578,3.758762041586589,3.617524507254351,3.9533325447270604,3.4399456306565352,3.009635757377308
15,2018-08-09,1.8930667863844381,1.5690763484198018,2.3883745862423917,2732.0,0.24852157,37,82,1.681579695998592,2.42597563471653,1.5618306960910744,1.5940335953298634,1.7296962827494267,2.258859863720359,1.8094252379339162,1.7336179322077467,2.016264577700888,2.119384347395986
16,2018-08-16,0.30626259678606804,0.1904976457562682,0.4303591189031832,3275.0,0.058258768,10,19,0.26298902309503375,0.24717077209415567,0.417816126693182,0.40280494018347734,0.2011518389508006,0.39176865787514087,0.43400063277060286,0.22250107060316876,0.2950184127017793,0.18740449289333944
17,2018-08-23,0.8589968671289986,0.6410674343240781,1.2456850072985026,4356.0,0.071121144,15,42,1.0986316633188895,0.6413865768429128,0.895521046886747,0.8690371223278835,0.865831502284742,0.6409747800444164,0.7339856184807664,1.2883779136151643,0.7816833055515654,0.7745391419368983
18,2018-08-30,0.7300584510764795,0.563597554943219,0.9280853885164235,2148.0,0.032578088,9,34,0.7890638422422611,0.5480890750608598,0.8574945500677642,0.6517158408462123,0.7207420998789174,0.8407374437434731,0.9485795029047439,0.6647653724640813,0.6623811312406925,0.6170156523157891
19,2018-09-06,0.5531618206503707,0.3802419856799427,0.7353686210090158,1880.0,0.029262405,10,23,0.5021348504812772,0.5858320226408595,0.5514992659430231,0.65878090882705,0.5834729503781351,0.7576037632553928,0.6464771213384906,0.4701306240132217,0.37402268775279074,0.4016640118734661
20,2018-09-13,0.8951875185306614,0.5909632110056124,1.0935576561350688,1505.0,0.023246361,12,31,1.0846147955981595,0.9401528097241542,0.5854354889684733,0.7661770959442396,1.0547745735202168,0.9362274248251596,1.096153970484494,0.7988421082420611,1.0794937755327867,0.6100031424668696
21,2018-09-20,2.0055776401370933,1.7933060526238835,2.3049362147976153,3143.0,0.055983564,24,67,2.3477972277811574,1.9422963209114619,2.0076770175035503,1.890807486736262,2.1573038367431936,1.7685457580489632,1.878591511715276,2.0746638555855896,1.9290047853521965,2.0590886009932836
22,2018-09-27,1.0155147382306342,0.8538411827173569,1.2819338021700448,3186.0,0.072853377,20,44,0.9479791769964058,0.976208254167529,0.9619278966647649,0.921137271600146,1.0717319442341664,0.9969179426653357,1.1552416867512583,0.9709842166353361,0.8343036085255795,1.3187153840658214
23,2018-10-04,1.67607326035611,1.3431434905624295,1.9451912283083437,3633.0,0.064222974,27,81,1.5420483155323996,1.2870723851272161,1.6126765606666604,1.662063452313471,1.9644404101370916,1.7155000364798354,1.8788884908982122,1.536277298172609,1.7213665678456893,1.840399086387915
24,2018-10-11,1.4385965912927672,1.252398200358038,1.6429370458264652,3333.0,0.054727332,34,84,1.2715799147696207,1.6306403311475965,1.3071607070504094,1.5058060510357338,1.457642232110807,1.5357101216483902,1.2468293155288688,1.3693379927925151,1.41475218707824,1.6465070597654914
25,2018-10-18,1.3914665413190284,1.1554085294340357,1.5277785690893886,5694.0,0.094035832,44,96,1.5263317697152334,1.4627431963175832,1.4900953955040765,1.4385335233135428,1.1362017016755153,1.2237198580372375,1.4529774728703548,1.4342985075370975,1.221565380602273,1.5281986076173693
