week,meanRt,lowerRt,upperRt,totalIterations,runTime,reportedIncidence,trueR,reportedWeeklyICheck
6,0.274374930028775,0.182097176091428,0.391231477389914,179605,2.79235981,31,0.541127739152425,31
7,2.34436850587855,1.97576541538364,2.73811326334737,180375,3.069129851,262,2.52346621410417,262
8,0.582217313331937,0.486474159077431,0.688259228776143,431357,6.741323147,145,0.966489031488642,145
9,4.98086450059148,4.64564625287071,5.32343007316207,729697,11.830714502,1580,6.35655424086201,1580
10,1.02616069024451,0.947699118686826,1.10781687400816,727451,13.281210401,656,0.985656385387581,656
11,0.520408229965978,0.469845927406679,0.572692434780809,906178,15.438069125,408,0.450707167801221,408
1,NaN,NaN,NaN,0,0,1,13.3207804667916,1
2,11.1796004761062,4.75982203997557,22.0655771836836,179301,1.940341173,14,9.85381088581003,14
3,1.30388469402251,0.441751031705881,2.72163442318393,102570,1.07788392,5,0.775532766945345,5
4,2.92490738662566,1.66171819873256,4.68345022035729,107077,1.16880143,20,2.28288520118884,20
5,3.96918572458669,3.00185459072964,5.17516267138062,180037,2.427617434,248,11.586942488661,248
6,1.06607115318069,0.850474138487541,1.30443138238769,173874,2.593291415,127,1.21088487863111,127
7,1.37195336986363,1.16860906152514,1.59237581707833,188795,2.833489357,205,1.25197852466045,205
8,0.134739970354568,0.0955272836284518,0.182595426793895,523879,8.172642843,38,0.168801682983627,38
9,0.468806851581972,0.378673819444821,0.567980706914355,409693,6.52862854,105,0.600752837642512,105
10,0.913095852156503,0.769424314940801,1.07097747802266,339794,6.585877417,149,0.96778950290633,149
11,4.98634976079514,4.6302795753022,5.35462362162913,578036,9.895772837,895,4.48118851247764,895
1,NaN,NaN,NaN,0,0,2,20.6472376502877,2
2,3.07644209905193,0.518541451472292,8.58529977472646,106506,1.762386239,2,2.96796197140438,2
3,1.97231161761009,0.354966947956634,5.30241637761305,103287,1.220355486,2,0.880636078089329,2
4,8.17022421007913,4.40433934657052,13.7667183705922,130371,1.000877181,23,6.89546130952387,23
5,0.779590003370363,0.45315124304988,1.23607735772428,124982,1.33959053,29,3.36555338396493,29
6,0.174276902002445,0.0723660011871883,0.33276566136813,128195,1.432187607,7,0.625563729238718,7
7,1.38956893534549,0.947789363229022,1.94826696599551,132016,1.503504097,50,2.14241810845845,50
8,0.999403051087212,0.737382528190047,1.31987919893681,208680,2.433672753,63,2.57912648427208,63
9,1.23402626045788,0.969738599188552,1.54958173958893,218098,3.028135303,81,1.39806246536288,81
10,1.73440928291589,1.43403739446434,2.07670874816357,244646,3.769200581,127,2.23537782927791,127
11,2.10005463163164,1.81001218840777,2.40886354797099,285548,3.764567862,199,1.76464273818004,199
1,NaN,NaN,NaN,0,0,1,1.55059316792259,1
2,1.8015721478795,0.0411075492618983,7.34150479988892,100001,1.440597606,0,3.94542578217049,0
3,1.77315865152907,0.0405374001826848,7.19962361307305,100002,0.963418708,0,0.487644947016365,0
4,2.02688614477691,0.0453308727678191,8.25931653671124,100001,1.260229513,0,2.66420946063893,0
5,1.5112053119903,0.0222943861914315,7.46122535088892,100049,1.341146495,0,2.70154904182494,0
6,2.62758282469554,0.042945584966745,11.6066963164291,100008,1.601220445,0,0.415376141872773,0
7,4.37155030338621,0.386013307162708,14.7984237998388,203672,2.512846269,1,0.523559073040997,1
8,2.38624709887366,0.228885747931332,7.80303451819923,126558,1.99964336,1,2.68370557679931,1
9,4.68252573667541,1.41998958196111,10.3579322479177,221875,2.891432852,5,6.73365522245053,5
10,0.445427161057149,0.011209977197916,1.6453946526815,100116,2.075294049,0,0.164554805756069,0
11,2.50375815164562,0.885372449454073,4.94888089192499,150631,2.634768697,5,1.78449344855205,5
1,NaN,NaN,NaN,0,0,1,1.0600253504027,1
2,1.80809380870728,0.0407687547931592,7.38974836752551,100001,1.396907911,0,4.18261323592528,0
3,1.78124408162374,0.0386169173991575,7.22262253794308,100001,0.918217954,0,0.9384365651693,0
4,4.57919589913168,0.785653342585757,12.7400085400814,116704,1.110462537,2,4.78755046090387,2
5,4.36966236497837,1.6769185228054,9.45089280841932,161460,2.054695101,20,8.84445714199791,20
6,6.77149411470236,4.42245428187889,9.72724597097103,221598,2.830660521,90,6.7689583455054,90
7,1.71766195762282,1.28242061802194,2.22133676052323,132610,1.652104829,62,1.26180902068575,62
8,2.06480055952524,1.7509645448011,2.4211092928353,295405,3.562776051,212,3.19888180024851,212
9,2.32555317776668,2.05892310470732,2.60423332662162,364140,4.867171578,350,2.68818489659513,350
10,12.6149951835617,12.1471701152749,13.1038102945874,2585914,32.821472599,4810,12.1359535622757,4810
