week,meanRt,lowerRt,upperRt,totalIterations,runTime,reportedIncidence,trueR
5,3.8657911567654955,2.148126676084276,6.1033540062856675,47485.0,0.962936652,14.0,4.63885514332503
6,4.498248608353463,3.039942745609095,6.168160495606802,133808.0,2.171632085,36.0,4.6480534316006565
7,1.7603218114241452,1.1531680052037705,2.4721739671396827,104570.0,1.889050855,30.0,1.4760376138382196
8,0.2881658056585302,0.12314440158896096,0.5228900853748264,77014.0,1.583826994,6.0,0.15737831308792136
9,0.9365820771486035,0.5999608518413058,1.392059466101257,90038.0,2.17867268,19.0,1.351118002815832
10,0.756921300719117,0.4292521092322905,1.2154328271383195,74175.0,1.672436298,13.0,0.8146880271062604
11,2.6706177351918976,1.9769532427003604,3.4685913653837246,156378.0,3.827595886,48.0,2.6702832230550393
1,NaN,NaN,NaN,0.0,0.0,1.0,12.086933942793959
2,3.061844037536299,0.3577619139294324,8.599753230580419,4718.0,0.145505066,1.0,2.540659030834623
3,2.918966544167207,0.5059564534533598,6.936527355495089,8151.0,0.108906263,2.0,1.3706555818563755
4,3.1407664699487956,1.0104932710271362,6.466921191039697,14243.0,0.440733609,4.0,2.6763108447494197
5,6.832667179150824,4.281538333270525,10.315150789976917,143156.0,2.096845259,22.0,4.63885514332503
6,4.6099953701622605,3.325570380963576,6.080991970280227,178634.0,3.341625411,46.0,4.6480534316006565
7,1.6066401386076494,1.1146408735320128,2.185833929536244,126919.0,2.333168771,36.0,1.4760376138382196
8,0.23115505077590162,0.09212786432526464,0.410905926027071,97286.0,2.042303186,6.0,0.15737831308792136
9,1.41457541869506,1.0205565344243193,1.883919054891781,130135.0,2.740562346,37.0,1.351118002815832
10,0.8304362326281387,0.5162479283607925,1.2181897088326081,112582.0,2.585285516,21.0,0.8146880271062604
11,2.36005448756161,1.8331307579870764,2.923982246481494,209942.0,4.555568703,66.0,2.6702832230550393
1,NaN,NaN,NaN,0.0,0.0,1.0,12.086933942793959
2,5.40382781094087,1.3362202620228798,12.197986993489081,18831.0,0.233407925,3.0,2.540659030834623
3,2.4681505205946594,0.6963700593060715,5.57968977945186,10372.0,0.158612189,3.0,1.3706555818563755
4,3.0635240756399753,1.297718713359482,5.585941014132927,23451.0,0.322894082,7.0,2.6763108447494197
5,4.41000152030193,2.68174923844796,6.429062719372996,78763.0,1.17252046,21.0,4.63885514332503
6,4.567584579095108,3.417436972798223,5.8671029565308555,196285.0,3.171747561,52.0,4.6480534316006565
7,1.9554357702632477,1.4399529734340275,2.536134640472749,161447.0,2.879947966,49.0,1.4760376138382196
8,0.2724742658748272,0.12312835161929911,0.47257472301598563,123181.0,2.311707995,9.0,0.15737831308792136
9,1.443042978557501,1.0775557103939863,1.9039350942892197,180307.0,4.097792941,48.0,1.351118002815832
10,0.9605974112937209,0.6822553209577592,1.3095474143491699,142917.0,3.542731922,32.0,0.8146880271062604
